四川组播,#genre#
CGTN法语,http://118.112.148.81:58888/rtp/239.94.1.66:5140
CGTN法语,http://61.157.196.13:8888/rtp/239.94.1.62:5140
CGTN法语,http://61.157.196.13:8888/rtp/239.94.1.66:5140
CHC影迷电影,http://118.112.148.81:58888/rtp/239.94.1.174:5140
CHC影迷电影,http://61.157.196.13:8888/rtp/239.94.1.174:5140
CHC家庭影院,http://118.112.148.81:58888/rtp/239.94.1.173:5140
CHC家庭影院,http://61.157.196.13:8888/rtp/239.94.1.173:5140
CHC动作电影,http://118.112.148.81:58888/rtp/239.94.1.175:5140
CHC动作电影,http://61.157.196.13:8888/rtp/239.94.1.175:5140
梨园频道,http://118.112.148.81:58888/rtp/239.94.1.16:5140
梨园频道,http://61.157.196.13:8888/rtp/239.94.1.16:5140
天元围棋,http://118.112.148.81:58888/rtp/239.94.1.152:5140
天元围棋,http://61.157.196.13:8888/rtp/239.94.1.152:5140
法治天地,http://118.112.148.81:58888/rtp/239.94.1.166:5140
法治天地,http://61.157.196.13:8888/rtp/239.94.1.166:5140
游戏风云,http://118.112.148.81:58888/rtp/239.94.1.46:5140
游戏风云,http://61.157.196.13:8888/rtp/239.94.1.46:5140
茶频道,http://118.112.148.81:58888/rtp/239.94.1.154:5140
茶频道,http://61.157.196.13:8888/rtp/239.94.1.154:5140
金色学堂,http://118.112.148.81:58888/rtp/239.94.1.165:5140
金色学堂,http://61.157.196.13:8888/rtp/239.94.1.165:5140
金鹰纪实,http://118.112.148.81:58888/rtp/239.94.1.1:5140
金鹰纪实,http://61.157.196.13:8888/rtp/239.94.1.1:5140
环球旅游,http://118.112.148.81:58888/rtp/239.94.1.147:5140
环球旅游,http://61.157.196.13:8888/rtp/239.94.1.147:5140
快乐垂钓,http://118.112.148.81:58888/rtp/239.94.1.153:5140
快乐垂钓,http://61.157.196.13:8888/rtp/239.94.1.153:5140
生活时尚,http://118.112.148.81:58888/rtp/239.94.1.146:5140
生活时尚,http://61.157.196.13:8888/rtp/239.94.1.146:5140
中国交通,http://118.112.148.81:58888/rtp/239.94.0.87:5140
中国交通,http://61.157.196.13:8888/rtp/239.94.0.87:5140
中国天气,http://118.112.148.81:58888/rtp/239.94.1.167:5140
中国天气,http://61.157.196.13:8888/rtp/239.94.1.167:5140
乐游,http://118.112.148.81:58888/rtp/239.94.1.164:5140
乐游,http://61.157.196.13:8888/rtp/239.94.1.164:5140
动漫秀场,http://118.112.148.81:58888/rtp/239.94.1.171:5140
动漫秀场,http://61.157.196.13:8888/rtp/239.94.1.171:5140
重庆卫视,http://118.112.148.81:58888/rtp/239.94.0.82:5140
重庆卫视,http://61.157.196.13:8888/rtp/239.94.0.82:5140
江苏卫视,http://118.112.148.81:58888/rtp/239.94.0.62:5140
江苏卫视,http://118.112.148.81:58888/rtp/239.94.2.168:5140
江苏卫视,http://61.157.196.13:8888/rtp/239.94.0.62:5140
江苏卫视,http://61.157.196.13:8888/rtp/239.94.2.168:5140
浙江卫视,http://118.112.148.81:58888/rtp/239.94.0.63:5140
浙江卫视,http://118.112.148.81:58888/rtp/239.94.2.169:5140
浙江卫视,http://61.157.196.13:8888/rtp/239.94.0.63:5140
浙江卫视,http://61.157.196.13:8888/rtp/239.94.2.169:5140
东方卫视,http://118.112.148.81:58888/rtp/239.94.0.64:5140
东方卫视,http://118.112.148.81:58888/rtp/239.94.2.170:5140
东方卫视,http://61.157.196.13:8888/rtp/239.94.0.64:5140
东方卫视,http://61.157.196.13:8888/rtp/239.94.2.170:5140
深圳卫视,http://118.112.148.81:58888/rtp/239.94.0.66:5140
深圳卫视,http://118.112.148.81:58888/rtp/239.94.2.172:5140
深圳卫视,http://61.157.196.13:8888/rtp/239.94.0.66:5140
深圳卫视,http://61.157.196.13:8888/rtp/239.94.2.172:5140
北京卫视,http://118.112.148.81:58888/rtp/239.94.0.65:5140
北京卫视,http://118.112.148.81:58888/rtp/239.94.2.171:5140
北京卫视,http://61.157.196.13:8888/rtp/239.94.0.65:5140
北京卫视,http://61.157.196.13:8888/rtp/239.94.2.171:5140
山东卫视,http://118.112.148.81:58888/rtp/239.94.0.69:5140
