上海组播,#genre#
东南卫视,http://223.166.244.186:8001/rtp/238.200.200.157:5540
吉林卫视,http://223.166.244.186:8001/rtp/238.200.200.236:5540
吉林卫视,http://223.166.244.186:8001/rtp/238.200.200.160:5540
辽宁卫视,http://223.166.244.186:8001/rtp/238.200.200.41:5540
辽宁卫视,http://223.166.244.186:8001/rtp/238.200.200.155:5540
内蒙古卫视,http://223.166.244.186:8001/rtp/238.200.200.28:5540
湖南卫视,http://223.166.244.186:8001/rtp/238.200.200.136:5540
湖南卫视,http://223.166.244.186:8001/rtp/238.200.200.50:5540
广东卫视,http://223.166.244.186:8001/rtp/238.200.200.138:5540
广东卫视,http://223.166.244.186:8001/rtp/238.200.200.54:5540
河南卫视,http://223.166.244.186:8001/rtp/238.200.200.233:5540
河南卫视,http://223.166.244.186:8001/rtp/238.200.200.171:5540
河北卫视,http://223.166.244.186:8001/rtp/238.200.200.225:5540
河北卫视,http://223.166.244.186:8001/rtp/238.200.200.167:5540
甘肃卫视,http://223.166.244.186:8001/rtp/238.200.200.181:5540
甘肃卫视,http://223.166.244.186:8001/rtp/238.200.200.166:5540
青海卫视,http://223.166.244.186:8001/rtp/238.200.200.25:5540
青海卫视,http://223.166.244.186:8001/rtp/238.200.200.162:5540
新疆卫视,http://223.166.244.186:8001/rtp/238.200.200.22:5540
西藏卫视,http://223.166.244.186:8001/rtp/238.200.200.27:5540
兵团卫视,http://223.166.244.186:8001/rtp/238.200.200.23:5540
三沙卫视,http://223.166.244.186:8001/rtp/238.200.200.95:5540
三沙卫视,http://223.166.244.186:8001/rtp/238.200.200.174:5540
金鹰卡通,http://223.166.244.186:8001/rtp/238.200.200.26:5540
金鹰卡通,http://223.166.244.186:8001/rtp/238.200.200.175:5540
哈哈炫动,http://223.166.244.186:8001/rtp/238.200.200.176:5540
哈哈炫动,http://223.166.244.186:8001/rtp/238.200.200.105:5540
卡酷少儿,http://223.166.244.186:8001/rtp/238.200.200.218:5540
卡酷少儿,http://223.166.244.186:8001/rtp/238.200.200.246:5540
上海新闻,http://223.166.244.186:8001/rtp/238.200.200.130:5540
上海新闻,http://223.166.244.186:8001/rtp/238.200.200.87:5540
上海都市,http://223.166.244.186:8001/rtp/238.200.200.127:5540
上海都市,http://223.166.244.186:8001/rtp/238.200.200.89:5540
东方影视,http://223.166.244.186:8001/rtp/238.200.200.128:5540
东方影视,http://223.166.244.186:8001/rtp/238.200.200.90:5540
上海教育,http://223.166.244.186:8001/rtp/238.200.200.187:5540
上海教育,http://223.166.244.186:8001/rtp/238.200.200.24:5540
东方财经,http://223.166.244.186:8001/rtp/238.200.200.36:5540
第一财经,http://223.166.244.186:8001/rtp/238.200.200.132:5540
第一财经,http://223.166.244.186:8001/rtp/238.200.200.229:5540
五星体育,http://223.166.244.186:8001/rtp/238.200.200.131:5540
五星体育,http://223.166.244.186:8001/rtp/238.200.200.102:5540
都市剧场,http://223.166.244.186:8001/rtp/238.200.200.34:5540
都市剧场,http://223.166.244.186:8001/rtp/238.200.200.177:5540
欢笑剧场,http://223.166.244.186:8001/rtp/238.200.200.35:5540
央广购物,http://223.166.244.186:8001/rtp/238.200.200.249:5540
央广购物,http://223.166.244.186:8001/rtp/238.200.200.223:5540
东方购物-1,http://223.166.244.186:8001/rtp/238.200.200.79:5540
东方购物-1,http://223.166.244.186:8001/rtp/238.200.200.93:5540
东方购物-2,http://223.166.244.186:8001/rtp/238.200.200.7:5540
东方购物-2,http://223.166.244.186:8001/rtp/238.200.200.94:5540
百事通直播,http://223.166.244.186:8001/rtp/238.200.200.143:5540
百事通直播,http://223.166.244.186:8001/rtp/238.200.200.144:5540
百事通直播,http://223.166.244.186:8001/rtp/238.200.200.145:5540
百事通直播,http://223.166.244.186:8001/rtp/238.200.200.146:5540
百事通直播,http://223.166.244.186:8001/rtp/238.200.200.147:5540
百事通预告,http://223.166.244.186:8001/rtp/238.200.200.78:5540
CETV2,http://223.166.244.186:8001/rtp/238.200.200.227:5540
CGTN,http://223.166.244.186:8001/rtp/238.200.200.118:5540
宁夏卫视,http://223.166.244.186:8001/rtp/238.200.200.151:5540
延边卫视,http://223.166.244.186:8001/rtp/238.200.200.75:5540
嘉佳卡通,http://223.166.244.186:8001/rtp/238.200.200.245:5540
财富天下,http://223.166.244.186:8001/rtp/238.200.200.230:5540
好享购物,http://223.166.244.186:8001/rtp/238.200.200.220:5540
家庭理财,http://223.166.244.186:8001/rtp/238.200.200.188:5540
山西组播,#genre#
CCTV1,http://171.124.100.84:8084/rtp/226.0.2.153:9136
CCTV1,http://171.124.100.84:8084/rtp/226.0.2.162:9208
CCTV1,http://171.124.100.84:8084/rtp/226.0.2.164:9224
CCTV1,http://171.124.100.84:8084/rtp/226.0.2.165:9232
CCTV1,http://171.124.100.84:8084/rtp/226.0.2.166:9240
CCTV2,http://171.124.100.84:8084/rtp/226.0.2.154:9144
CCTV2,http://171.124.100.84:8084/rtp/226.0.2.19:8064
CCTV2,http://118.79.7.85:7000/rtp/226.0.2.154:9144
CCTV2,http://118.79.7.85:7000/rtp/226.0.2.19:8064
CCTV3,http://171.124.100.84:8084/rtp/226.0.2.208:9576
CCTV3,http://171.124.100.84:8084/rtp/226.0.2.20:8072
CCTV3,http://118.79.7.85:7000/rtp/226.0.2.208:9576
CCTV3,http://118.79.7.85:7000/rtp/226.0.2.20:8072
CCTV4,http://171.124.100.84:8084/rtp/226.0.2.156:9160
CCTV4,http://171.124.100.84:8084/rtp/226.0.2.21:8080
CCTV4,http://118.79.7.85:7000/rtp/226.0.2.156:9160
CCTV4,http://118.79.7.85:7000/rtp/226.0.2.21:8080
CCTV5,http://171.124.100.84:8084/rtp/226.0.2.209:9584
CCTV5,http://171.124.100.84:8084/rtp/226.0.2.168:9256
CCTV5,http://171.124.100.84:8084/rtp/226.0.2.22:8088
CCTV5,http://118.79.7.85:7000/rtp/226.0.2.209:9584
CCTV5,http://118.79.7.85:7000/rtp/226.0.2.168:9256
CCTV6,http://171.124.100.84:8084/rtp/226.0.2.210:9592
CCTV6,http://171.124.100.84:8084/rtp/226.0.2.23:8096
CCTV6,http://118.79.7.85:7000/rtp/226.0.2.210:9592
CCTV6,http://118.79.7.85:7000/rtp/226.0.2.23:8096
CCTV7,http://171.124.100.84:8084/rtp/226.0.2.159:9184
CCTV7,http://171.124.100.84:8084/rtp/226.0.2.24:8104
CCTV7,http://118.79.7.85:7000/rtp/226.0.2.159:9184
CCTV7,http://118.79.7.85:7000/rtp/226.0.2.24:8104
CCTV8,http://171.124.100.84:8084/rtp/226.0.2.211:9600
