四川4K组播,#genre#
CCTV4K,http://125.117.174.33:8001/rtp/233.50.201.226:5140
浙江卫视 4K,http://125.126.118.121:8088/rtp/233.50.202.104:5140
浙江卫视 4K,http://125.117.174.33:8001/rtp/233.50.202.104:5140
欢笑剧场 4K,http://125.126.118.121:8088/rtp/233.50.200.52:5140
欢笑剧场 4K,http://125.117.174.33:8001/rtp/233.50.200.52:5140
海南4K组播,#genre#
CCTV4K,http://119.41.22.190:4022/rtp/239.253.64.48:5140
CCTV164K,http://119.41.22.190:4022/rtp/239.253.64.126:5140
北京卫视 4K,http://119.41.22.190:4022/rtp/239.253.64.92:5140
东方卫视 4K,http://119.41.22.190:4022/rtp/239.253.64.63:5140
广东卫视 4K,http://119.41.22.190:4022/rtp/239.253.64.96:5140
深圳卫视 4K,http://119.41.22.190:4022/rtp/239.253.64.95:5140
湖南卫视 4K,http://119.41.22.190:4022/rtp/239.253.64.60:5140
山东卫视 4K,http://119.41.22.190:4022/rtp/239.253.64.65:5140
四川卫视 4K,http://119.41.22.190:4022/rtp/239.253.64.64:5140
浙江卫视 4K,http://119.41.22.190:4022/rtp/239.253.64.62:5140
江苏卫视 4K,http://119.41.22.190:4022/rtp/239.253.64.61:5140
爱上 4K,http://119.41.22.190:4022/rtp/239.253.64.243:5140
爱上 4K,http://119.41.22.190:4022/rtp/239.253.64.49:5140
湖北4K组播,#genre#
CCTV4K,http://59.174.160.160:4022/rtp/239.69.1.111:10304
CCTV164K,http://59.174.160.160:4022/rtp/239.69.1.12:9712
CCTV164K,http://59.174.160.160:4022/rtp/239.69.1.249:11136
北京卫视 4K,http://59.174.160.160:4022/rtp/239.69.2.22:11286
东方卫视 4K,http://59.174.160.160:4022/rtp/239.69.2.37:11376
广东卫视 4K,http://59.174.160.160:4022/rtp/239.69.2.27:11316
深圳卫视 4K,http://59.174.160.160:4022/rtp/239.69.2.28:11322
湖南卫视 4K,http://59.174.160.160:4022/rtp/239.69.1.13:9718
湖南卫视 4K,http://59.174.160.160:4022/rtp/239.69.1.27:9802
湖南卫视 4K,http://59.174.160.160:4022/rtp/239.69.2.34:11358
山东卫视 4K,http://59.174.160.160:4022/rtp/239.69.1.26:9796
山东卫视 4K,http://59.174.160.160:4022/rtp/239.69.2.38:11382
四川卫视 4K,http://59.174.160.160:4022/rtp/239.69.2.39:11388
四川卫视 4K,http://59.174.160.160:4022/rtp/239.69.1.28:9808
浙江卫视 4K,http://59.174.160.160:4022/rtp/239.69.2.35:11364
浙江卫视 4K,http://59.174.160.160:4022/rtp/239.69.1.25:9790
江苏卫视 4K,http://59.174.160.160:4022/rtp/239.69.1.24:9784
江苏卫视 4K,http://59.174.160.160:4022/rtp/239.69.2.36:11370
欢笑剧场 4K,http://59.174.160.160:4022/rtp/239.69.2.5:11184
贵州4K组播,#genre#
CCTV4K,http://220.172.22.15:4022/rtp/238.255.2.139:5999
CCTV4K,http://61.159.135.162:9527/rtp/238.255.2.139:5999
CCTV164K,http://220.172.22.15:4022/rtp/238.255.2.145:5999
CCTV164K,http://61.159.135.162:9527/rtp/238.255.2.145:5999
北京卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.160:5999
北京卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.149:5999
北京卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.160:5999
北京卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.149:5999
东方卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.124:5999
东方卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.123:5999
东方卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.124:5999
东方卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.123:5999
广东卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.46:5999
