上海央视卫视,#genre#
CCTV1,http://114.252.224.218:4022/rtp/239.3.1.152:8120
CCTV1,http://114.252.224.218:4022/rtp/239.3.1.64:8124
CCTV1,http://114.252.224.218:4022/rtp/239.3.1.124:8128
CCTV2,http://114.252.224.218:4022/rtp/239.3.1.60:8084
CCTV3,http://114.252.224.218:4022/rtp/239.3.1.172:8001
CCTV4,http://114.252.224.218:4022/rtp/239.3.1.105:8092
CCTV4,http://114.252.224.218:4022/rtp/239.3.1.213:4220
CCTV4,http://114.252.224.218:4022/rtp/239.3.1.214:4220
CCTV5,http://114.252.224.218:4022/rtp/239.3.1.173:8001
CCTV5,http://114.252.224.218:4022/rtp/239.3.1.130:8004
CCTV6,http://114.252.224.218:4022/rtp/239.3.1.174:8001
CCTV7,http://114.252.224.218:4022/rtp/239.3.1.61:8104
CCTV8,http://114.252.224.218:4022/rtp/239.3.1.175:8001
CCTV9,http://114.252.224.218:4022/rtp/239.3.1.62:8112
CETV1,http://114.252.224.218:4022/rtp/239.3.1.57:8152
CETV2,http://114.252.224.218:4022/rtp/239.3.1.54:4120
CETV4,http://114.252.224.218:4022/rtp/239.3.1.56:4120
CGTN,http://114.252.224.218:4022/rtp/239.3.1.215:4220
CGTN纪录,http://114.252.224.218:4022/rtp/239.3.1.216:4220
CGTN阿语,http://114.252.224.218:4022/rtp/239.3.1.219:4220
CGTN俄语,http://114.252.224.218:4022/rtp/239.3.1.220:4220
CGTN西语,http://114.252.224.218:4022/rtp/239.3.1.217:4220
CGTN法语,http://114.252.224.218:4022/rtp/239.3.1.218:4220
重庆卫视,http://114.252.224.218:4022/rtp/239.3.1.122:8160
江苏卫视,http://114.252.224.218:4022/rtp/239.3.1.135:8028
浙江卫视,http://114.252.224.218:4022/rtp/239.3.1.137:8036
东方卫视,http://114.252.224.218:4022/rtp/239.3.1.136:8032
深圳卫视,http://114.252.224.218:4022/rtp/239.3.1.134:8020
北京卫视,http://114.252.224.218:4022/rtp/239.3.1.241:8000
山东卫视,http://114.252.224.218:4022/rtp/239.3.1.209:8052
天津卫视,http://114.252.224.218:4022/rtp/239.3.1.141:1234
贵州卫视,http://114.252.224.218:4022/rtp/239.3.1.149:8076
四川卫视,http://114.252.224.218:4022/rtp/239.3.1.29:8288
云南卫视,http://114.252.224.218:4022/rtp/239.3.1.26:8108
广西卫视,http://114.252.224.218:4022/rtp/239.3.1.39:8300
黑龙江卫视,http://114.252.224.218:4022/rtp/239.3.1.133:8016
安徽卫视,http://114.252.224.218:4022/rtp/239.3.1.211:8064
山西卫视,http://114.252.224.218:4022/rtp/239.3.1.42:8172
江西卫视,http://114.252.224.218:4022/rtp/239.3.1.123:8164
湖北卫视,http://114.252.224.218:4022/rtp/239.3.1.138:8044
旅游卫视,http://114.252.224.218:4022/rtp/239.3.1.45:8304
陕西卫视,http://114.252.224.218:4022/rtp/239.3.1.41:8140
东南卫视,http://114.252.224.218:4022/rtp/239.3.1.156:8148
厦门卫视,http://114.252.224.218:4022/rtp/239.3.1.143:4120
吉林卫视,http://114.252.224.218:4022/rtp/239.3.1.240:8172
辽宁卫视,http://114.252.224.218:4022/rtp/239.3.1.210:8056
内蒙古卫视,http://114.252.224.218:4022/rtp/239.3.1.43:8176
湖南卫视,http://114.252.224.218:4022/rtp/239.3.1.132:8012
广东卫视,http://114.252.224.218:4022/rtp/239.3.1.142:8048
河南卫视,http://114.252.224.218:4022/rtp/239.3.1.50:8184
河北卫视,http://114.252.224.218:4022/rtp/239.3.1.148:8072
青海卫视,http://114.252.224.218:4022/rtp/239.3.1.44:8184
西藏卫视,http://114.252.224.218:4022/rtp/239.3.1.166:8188
三沙卫视,http://114.252.224.218:4022/rtp/239.3.1.155:4120
山东教育卫视,http://114.252.224.218:4022/rtp/239.3.1.52:4120
央视网CCTV3,http://114.252.224.218:4022/rtp/239.3.1.193:8012
央视网CCTV5,http://114.252.224.218:4022/rtp/239.3.1.89:4120
央视网CCTV8,http://114.252.224.218:4022/rtp/239.3.1.85:4120
央视网CCTV1,http://114.252.224.218:4022/rtp/239.3.1.86:4120
