内蒙古组播,#genre#
东方卫视,http://1.30.47.10:7000/rtp/239.125.2.82:4120
东方卫视,http://1.30.47.10:7000/rtp/239.125.1.116:4130
深圳卫视,http://116.114.141.15:8686/rtp/239.125.2.76:4120
深圳卫视,http://116.114.141.15:8686/rtp/239.125.1.166:4130
深圳卫视,http://1.30.47.10:7000/rtp/239.125.2.76:4120
深圳卫视,http://1.30.47.10:7000/rtp/239.125.1.166:4130
北京卫视,http://116.114.141.15:8686/rtp/239.125.2.73:4120
北京卫视,http://116.114.141.15:8686/rtp/239.125.1.176:4130
北京卫视,http://1.30.47.10:7000/rtp/239.125.2.73:4120
北京卫视,http://1.30.47.10:7000/rtp/239.125.1.176:4130
山东卫视,http://116.114.141.15:8686/rtp/239.125.2.75:4120
山东卫视,http://116.114.141.15:8686/rtp/239.125.1.149:4130
山东卫视,http://1.30.47.10:7000/rtp/239.125.2.75:4120
山东卫视,http://1.30.47.10:7000/rtp/239.125.1.149:4130
天津卫视,http://116.114.141.15:8686/rtp/239.125.2.81:4120
天津卫视,http://116.114.141.15:8686/rtp/239.125.1.153:4130
天津卫视,http://1.30.47.10:7000/rtp/239.125.2.81:4120
天津卫视,http://1.30.47.10:7000/rtp/239.125.1.153:4130
贵州卫视,http://116.114.141.15:8686/rtp/239.125.2.80:4120
贵州卫视,http://116.114.141.15:8686/rtp/239.125.1.158:4130
贵州卫视,http://1.30.47.10:7000/rtp/239.125.2.80:4120
贵州卫视,http://1.30.47.10:7000/rtp/239.125.1.158:4130
四川卫视,http://116.114.141.15:8686/rtp/239.125.2.79:4120
四川卫视,http://116.114.141.15:8686/rtp/239.125.1.175:4130
四川卫视,http://1.30.47.10:7000/rtp/239.125.2.79:4120
四川卫视,http://1.30.47.10:7000/rtp/239.125.1.175:4130
云南卫视,http://116.114.141.15:8686/rtp/239.125.1.231:4120
云南卫视,http://116.114.141.15:8686/rtp/239.125.1.160:4130
云南卫视,http://1.30.47.10:7000/rtp/239.125.1.231:4120
云南卫视,http://1.30.47.10:7000/rtp/239.125.1.160:4130
广西卫视,http://116.114.141.15:8686/rtp/239.125.1.225:4120
广西卫视,http://116.114.141.15:8686/rtp/239.125.1.167:4130
广西卫视,http://1.30.47.10:7000/rtp/239.125.1.225:4120
广西卫视,http://1.30.47.10:7000/rtp/239.125.1.167:4130
黑龙江卫视,http://116.114.141.15:8686/rtp/239.125.2.83:4120
黑龙江卫视,http://116.114.141.15:8686/rtp/239.125.1.171:4130
黑龙江卫视,http://1.30.47.10:7000/rtp/239.125.2.83:4120
黑龙江卫视,http://1.30.47.10:7000/rtp/239.125.1.171:4130
安徽卫视,http://116.114.141.15:8686/rtp/239.125.2.78:4120
安徽卫视,http://116.114.141.15:8686/rtp/239.125.1.173:4130
安徽卫视,http://1.30.47.10:7000/rtp/239.125.2.78:4120
安徽卫视,http://1.30.47.10:7000/rtp/239.125.1.173:4130
山西卫视,http://116.114.141.15:8686/rtp/239.125.1.226:4120
山西卫视,http://116.114.141.15:8686/rtp/239.125.1.119:4130
山西卫视,http://1.30.47.10:7000/rtp/239.125.1.226:4120
山西卫视,http://1.30.47.10:7000/rtp/239.125.1.119:4130
江西卫视,http://116.114.141.15:8686/rtp/239.125.2.101:4129
江西卫视,http://116.114.141.15:8686/rtp/239.125.1.174:4130
江西卫视,http://1.30.47.10:7000/rtp/239.125.2.101:4129
江西卫视,http://1.30.47.10:7000/rtp/239.125.1.174:4130
湖北卫视,http://116.114.141.15:8686/rtp/239.125.2.74:4120
湖北卫视,http://116.114.141.15:8686/rtp/239.125.1.152:4130
湖北卫视,http://1.30.47.10:7000/rtp/239.125.2.74:4120
湖北卫视,http://1.30.47.10:7000/rtp/239.125.1.152:4130
旅游卫视,http://116.114.141.15:8686/rtp/239.125.2.189:4120
旅游卫视,http://116.114.141.15:8686/rtp/239.125.1.165:4130
旅游卫视,http://1.30.47.10:7000/rtp/239.125.2.189:4120
旅游卫视,http://1.30.47.10:7000/rtp/239.125.1.165:4130
东南卫视,http://116.114.141.15:8686/rtp/239.125.2.77:4120
东南卫视,http://116.114.141.15:8686/rtp/239.125.1.164:4130
东南卫视,http://1.30.47.10:7000/rtp/239.125.2.77:4120
东南卫视,http://1.30.47.10:7000/rtp/239.125.1.164:4130
吉林卫视,http://116.114.141.15:8686/rtp/239.125.2.191:4120
吉林卫视,http://116.114.141.15:8686/rtp/239.125.2.205:4120
吉林卫视,http://1.30.47.10:7000/rtp/239.125.2.191:4120
吉林卫视,http://1.30.47.10:7000/rtp/239.125.2.205:4120
辽宁卫视,http://116.114.141.15:8686/rtp/239.125.2.72:4120
辽宁卫视,http://116.114.141.15:8686/rtp/239.125.1.115:4130
辽宁卫视,http://1.30.47.10:7000/rtp/239.125.2.72:4120
辽宁卫视,http://1.30.47.10:7000/rtp/239.125.1.115:4130
湖南卫视,http://116.114.141.15:8686/rtp/239.125.2.67:4120
湖南卫视,http://116.114.141.15:8686/rtp/239.125.1.170:4130
